"Filename","target","category","speaker","fold"
"0_george_0.wav","0","zero","george","0"
"0_george_10.wav","0","zero","george","0"
"0_george_11.wav","0","zero","george","1"
"0_george_12.wav","0","zero","george","2"
"0_george_13.wav","0","zero","george","3"
"0_george_14.wav","0","zero","george","4"
"0_george_15.wav","0","zero","george","5"
"0_george_16.wav","0","zero","george","6"
"0_george_17.wav","0","zero","george","7"
"0_george_18.wav","0","zero","george","8"
"0_george_19.wav","0","zero","george","9"
"0_george_1.wav","0","zero","george","1"
"0_george_20.wav","0","zero","george","0"
"0_george_21.wav","0","zero","george","1"
"0_george_22.wav","0","zero","george","2"
"0_george_23.wav","0","zero","george","3"
"0_george_24.wav","0","zero","george","4"
"0_george_25.wav","0","zero","george","5"
"0_george_26.wav","0","zero","george","6"
"0_george_27.wav","0","zero","george","7"
"0_george_28.wav","0","zero","george","8"
"0_george_29.wav","0","zero","george","9"
"0_george_2.wav","0","zero","george","2"
"0_george_30.wav","0","zero","george","0"
"0_george_31.wav","0","zero","george","1"
"0_george_32.wav","0","zero","george","2"
"0_george_33.wav","0","zero","george","3"
"0_george_34.wav","0","zero","george","4"
"0_george_35.wav","0","zero","george","5"
"0_george_36.wav","0","zero","george","6"
"0_george_37.wav","0","zero","george","7"
"0_george_38.wav","0","zero","george","8"
"0_george_39.wav","0","zero","george","9"
"0_george_3.wav","0","zero","george","3"
"0_george_40.wav","0","zero","george","0"
"0_george_41.wav","0","zero","george","1"
"0_george_42.wav","0","zero","george","2"
"0_george_43.wav","0","zero","george","3"
"0_george_44.wav","0","zero","george","4"
"0_george_45.wav","0","zero","george","5"
"0_george_46.wav","0","zero","george","6"
"0_george_47.wav","0","zero","george","7"
"0_george_48.wav","0","zero","george","8"
"0_george_49.wav","0","zero","george","9"
"0_george_4.wav","0","zero","george","4"
"0_george_5.wav","0","zero","george","5"
"0_george_6.wav","0","zero","george","6"
"0_george_7.wav","0","zero","george","7"
"0_george_8.wav","0","zero","george","8"
"0_george_9.wav","0","zero","george","9"
"0_jackson_0.wav","0","zero","jackson","0"
"0_jackson_10.wav","0","zero","jackson","0"
"0_jackson_11.wav","0","zero","jackson","1"
"0_jackson_12.wav","0","zero","jackson","2"
"0_jackson_13.wav","0","zero","jackson","3"
"0_jackson_14.wav","0","zero","jackson","4"
"0_jackson_15.wav","0","zero","jackson","5"
"0_jackson_16.wav","0","zero","jackson","6"
"0_jackson_17.wav","0","zero","jackson","7"
"0_jackson_18.wav","0","zero","jackson","8"
"0_jackson_19.wav","0","zero","jackson","9"
"0_jackson_1.wav","0","zero","jackson","1"
"0_jackson_20.wav","0","zero","jackson","0"
"0_jackson_21.wav","0","zero","jackson","1"
"0_jackson_22.wav","0","zero","jackson","2"
"0_jackson_23.wav","0","zero","jackson","3"
"0_jackson_24.wav","0","zero","jackson","4"
"0_jackson_25.wav","0","zero","jackson","5"
"0_jackson_26.wav","0","zero","jackson","6"
"0_jackson_27.wav","0","zero","jackson","7"
"0_jackson_28.wav","0","zero","jackson","8"
"0_jackson_29.wav","0","zero","jackson","9"
"0_jackson_2.wav","0","zero","jackson","2"
"0_jackson_30.wav","0","zero","jackson","0"
"0_jackson_31.wav","0","zero","jackson","1"
"0_jackson_32.wav","0","zero","jackson","2"
"0_jackson_33.wav","0","zero","jackson","3"
"0_jackson_34.wav","0","zero","jackson","4"
"0_jackson_35.wav","0","zero","jackson","5"
"0_jackson_36.wav","0","zero","jackson","6"
"0_jackson_37.wav","0","zero","jackson","7"
"0_jackson_38.wav","0","zero","jackson","8"
"0_jackson_39.wav","0","zero","jackson","9"
"0_jackson_3.wav","0","zero","jackson","3"
"0_jackson_40.wav","0","zero","jackson","0"
"0_jackson_41.wav","0","zero","jackson","1"
"0_jackson_42.wav","0","zero","jackson","2"
"0_jackson_43.wav","0","zero","jackson","3"
"0_jackson_44.wav","0","zero","jackson","4"
"0_jackson_45.wav","0","zero","jackson","5"
"0_jackson_46.wav","0","zero","jackson","6"
"0_jackson_47.wav","0","zero","jackson","7"
"0_jackson_48.wav","0","zero","jackson","8"
"0_jackson_49.wav","0","zero","jackson","9"
"0_jackson_4.wav","0","zero","jackson","4"
"0_jackson_5.wav","0","zero","jackson","5"
"0_jackson_6.wav","0","zero","jackson","6"
"0_jackson_7.wav","0","zero","jackson","7"
"0_jackson_8.wav","0","zero","jackson","8"
"0_jackson_9.wav","0","zero","jackson","9"
"0_lucas_0.wav","0","zero","lucas","0"
"0_lucas_10.wav","0","zero","lucas","0"
"0_lucas_11.wav","0","zero","lucas","1"
"0_lucas_12.wav","0","zero","lucas","2"
"0_lucas_13.wav","0","zero","lucas","3"
"0_lucas_14.wav","0","zero","lucas","4"
"0_lucas_15.wav","0","zero","lucas","5"
"0_lucas_16.wav","0","zero","lucas","6"
"0_lucas_17.wav","0","zero","lucas","7"
"0_lucas_18.wav","0","zero","lucas","8"
"0_lucas_19.wav","0","zero","lucas","9"
"0_lucas_1.wav","0","zero","lucas","1"
"0_lucas_20.wav","0","zero","lucas","0"
"0_lucas_21.wav","0","zero","lucas","1"
"0_lucas_22.wav","0","zero","lucas","2"
"0_lucas_23.wav","0","zero","lucas","3"
"0_lucas_24.wav","0","zero","lucas","4"
"0_lucas_25.wav","0","zero","lucas","5"
"0_lucas_26.wav","0","zero","lucas","6"
"0_lucas_27.wav","0","zero","lucas","7"
"0_lucas_28.wav","0","zero","lucas","8"
"0_lucas_29.wav","0","zero","lucas","9"
"0_lucas_2.wav","0","zero","lucas","2"
"0_lucas_30.wav","0","zero","lucas","0"
"0_lucas_31.wav","0","zero","lucas","1"
"0_lucas_32.wav","0","zero","lucas","2"
"0_lucas_33.wav","0","zero","lucas","3"
"0_lucas_34.wav","0","zero","lucas","4"
"0_lucas_35.wav","0","zero","lucas","5"
"0_lucas_36.wav","0","zero","lucas","6"
"0_lucas_37.wav","0","zero","lucas","7"
"0_lucas_38.wav","0","zero","lucas","8"
"0_lucas_39.wav","0","zero","lucas","9"
"0_lucas_3.wav","0","zero","lucas","3"
"0_lucas_40.wav","0","zero","lucas","0"
